rainfall,soil_moisture,vibration,slope,risk
40,30,1.0,5,SAFE
60,35,1.5,7,SAFE
80,40,2.0,8,SAFE
100,45,2.5,10,SAFE
120,50,3.0,12,SAFE
140,55,3.5,13,WARNING
150,60,4.0,14,WARNING
160,65,4.5,15,WARNING
170,70,5.0,16,WARNING
180,72,5.5,17,WARNING
190,75,6.0,18,WARNING
200,78,6.5,19,CRITICAL
210,80,7.0,20,CRITICAL
220,82,7.5,21,CRITICAL
230,85,8.0,22,CRITICAL
240,88,8.5,23,CRITICAL
250,90,9.0,24,CRITICAL
270,92,9.5,25,CRITICAL
300,95,10.0,28,CRITICAL
90,45,1.5,6,SAFE
110,48,2.0,9,SAFE
130,52,3.0,11,WARNING
155,63,4.2,14,WARNING
175,68,5.2,16,WARNING
205,82,7.2,20,CRITICAL
225,86,8.1,22,CRITICAL
260,90,9.2,25,CRITICAL
